Name	Gender	Race	Other Names
Balbo Baggins	m	Hobbit		
Baldor	m	Man		
Balin	m	Dwarf		
Bandobras Took	m	Hobbit		
Barach	m	Man		
Baragund	m	Man		
Barahir	m	Man		
Barahir	m	Man		
Barahir	m	Man		
Baran	m	Man		
Baranor	m	Man		
Bard II	m	Man		
Bard the Bowman	m	Man		
Barliman Butterbur	m	Man		
Basso Boffin	m	Hobbit		
Beechbone	m	Ent		
Belba Baggins	f	Hobbit		
Beldir	m	Man		
Beldis	f	Man		
Belecthor I	m	Man		
Belecthor II	m	Man		
Beleg	m	Man		
Beleg Cúthalion	m	Elf		
Belegorn	m	Man		
Belegund	m	Man		
Belemir	m	Man		
Belen	m	Man		
Bell Goodchild	f	Hobbit		
Belladonna Took	f	Hobbit		
Bëor	m	Man	Balan	
Beorn	m	Man		
Bereg	m	Man		
Beregar	m	Man		
Beregond	m	Man		
Beregond	m	Man		
Beren	m	Man		
Beren Erchamion	m	Man	Camlost	
Bereth	f	Man		
Bergil	m	Man		
Beril	f	Man		
Berilac Brandybuck	m	Hobbit		
Bert	m	Troll		
Berúthiel	f	Man		
Berylla Boffin	f	Hobbit		
Bifur	m	Dwarf		
Bilbo Baggins	m	Hobbit		
Gardner	m	Hobbit		
Bill	m	Troll	William Huggins	
Bill	m	pony		
Bill Ferny	m	Man		
Bingo Baggins	m	Hobbit		
Blanco	m	Hobbit		
Blanco Bracegirdle	m	Hobbit		
Bob	m	Hobbit		
Bodo Proudfoot	m	Hobbit		
Bofur	m	Dwarf		
Bolg	m	Orc		
Bombur	m	Dwarf		
Bór	m	Man		
Borin	m	Dwarf		
Borlach	m	Man		
Borlad	m	Man		
Boromir	m	Man		
Boromir	m	Man		
Boromir	m	Man		
Boron	m	Man		
Borondir	m	Man		
Borthand	m	Man		
Bosco Boffin	m	Hobbit		
Bowman Cotton	m	Hobbit	Nick	
Brand	m	Man		
Brandir	m	Man		
Bregalad	m	Ent	Quickbeam	
Brego	m	Man		
Bregolas	m	Man		
Briffo Boffin	m	Hobbit		
Brodda	m	Man		
Bruno Bracegirdle	m	Hobbit		
Brytta	m	Man	Léofa	
Bucca	m	Hobbit		
Buffo Boffin	m	Hobbit		
Bungo Baggins	m	Hobbit		
Calimehtar	m	Man		
Caliondo	m	Man		
Calmacil	m	Man		
Tar-Calmacil	m	Man	Belzagar	
Sackville	f	Hobbit		
Caranthir	m	Elf	Carnistir, Morifinwë	
Carc	m	raven		
Carcharoth	m	werewolf	Anfauglir	
Carl Cotton	m	Hobbit		
Castamir the Usurper	m	Man		
Celandine Brandybuck	f	Hobbit		
Celeborn	m	Elf	Teleporno	
Celebrían	f	Elf		
Celebrimbor	m	Elf		
Celebrindor	m	Man		
Celegorm	m	Elf	Turcafinwë, Tyelkormo	
Celepharn	m	Man		
Cemendur	m	Man		
Ceorl	m	Man		
Chica Chubb	f	Hobbit		
Círdan	m	Elf		
Cirion	m	Man		
Ciryandil	m	Man		
Tar-Ciryatan	m	Man	Balkumagân	
Ciryatur	m	Man		
Ciryon	m	Man		
Cora Goodbody	f	Hobbit		
Cotman	m	Hobbit		
Cottar	m	Hobbit		
Curufin	m	Elf	Atarinkë, Curufinwë	
Daeron	m	Elf		
Dagnir	m	Man		
Dáin I	m	Dwarf		
Dáin II	m	Dwarf	Ironfoot	
Dairuin	m	Man		
Daisy Baggins	f	Hobbit		
Gardner	f	Hobbit		
Damrod	m	Man		
Déagol	m	Hobbit	Nahald	
Denethor	m	Elf		
Denethor I	m	Man		
Denethor II	m	Man		
Déor	m	Man		
Déorwine	m	Man		
Derufin	m	Man		
Dervorin	m	Man		
Diamond	f	Hobbit		
Dina Diggle	f	Hobbit		
Dinodas Brandybuck	m	Hobbit		
Dior	m	Half-elf	Aranel, Eluchíl	
Dior	m	Man		
Dírhael	m	Man		
Dírhavel	m	Man		
Dís	f	Dwarf		
Doderic Brandybuck	m	Hobbit		
Dodinas Brandybuck	m	Hobbit		
Donnamira Took	f	Hobbit		
Dora Baggins	f	Hobbit		
Dori	m	Dwarf		
Dorlas	m	Man		
Draugluin	m	werewolf		
Drogo Baggins	m	Hobbit		
Druda Burrows	f	Hobbit		
Dudo Baggins	m	Hobbit		
Duilin	m	Man		
Duinhir	m	Man		
Dúnhere	m	Man		
Durin I	m	Dwarf		
Durin II	m	Dwarf		
Durin III	m	Dwarf		
Durin IV	m	Dwarf		
Durin V	m	Dwarf		
Durin VI	m	Dwarf		
Durin VII	m	Dwarf		
Dwalin	m	Dwarf		
Eärendil	m	Half-elf	Ardamírë, Azrubêl	
Eärendil	m	Man		
Eärendur	m	Man		
Eärendur	m	Man		
Eärendur	m	Man		
Eärnil I	m	Man		
Eärnil II	m	Man		
Eärnur	m	Man		
Eärwen	f	Elf		
Ecthelion I	m	Man		
Ecthelion II	m	Man		
Ecthelion of the Fountain	m	Elf		
Edrahil	m	Elf		
Egalmoth	m	Man		
Egalmoth	m	Elf		
Banks	f	Hobbit		
Eilinel	f	Man		
Gardner	f	Hobbit		
Elatan	m	Man		
Elboron	m	Man		
Eldacar	m	Man		
Eldacar	m	Man	Vinitharya	
Eldalótë	f	Elf		
Eldarion	m	Man		
Elemmakil	m	Elf		
Elemmírë	?	Elf		
Elendil	m	Man		
Tar-Elendil	m	Man	Parmaitë	
Elendur	m	Man		
Elenwë	f	Elf		
Elfhelm	m	Man		
Elfhild	f	Man		
Elfstan Fairbairn	m	Hobbit		
Elfwine	m	Man		
Elladan	m	Half-elf		
Elmo	m	Elf		
Elrohir	m	Half-elf		
Elrond	m	Half-elf		
Elros	m	Half-elf	Minyatur	
Eluréd	m	Half-elf		
Elurín	m	Half-elf		
Elwing	f	Half-elf		
Emeldir	f	Man		
Enel	m	Elf		
Enerdhil	m	Elf		
Eofor	m	Man		
Eöl	m	Elf		
Éomer	m	Man		
Éomund	m	Man		
Eönwë	m	Maia		
Eorl the Young	m	Man		
Éothain	m	Man		
Éowyn	f	Man		
Eradan	m	Man		
Erchirion	m	Man		
Erellont	m	unknown		
Erendis	f	Man	Elestirnë	
Erestor	m	Elf		
Erkenbrand	m	Man		
Erling Greenhand	m	Hobbit		
Esmeralda Brandybuck	f	Hobbit		
Estë	f	Vala		
Estella Bolger	f	Hobbit		
Estelmo	m	Man		
Everard Took	m	Hobbit		
Falco Chubb-Baggins	m	Hobbit		
Faramir	m	Man		
Faramir Took	m	Hobbit		
Farin	m	Dwarf		
Fastolph Bolger	m	Hobbit		
Fastred	m	Hobbit		
Fastred	m	Man		
Fastred	m	Man		
Fatty Lumpkin	m	pony		
Fëanor	m	Elf	Curufinwë, Fëanáro	
Felaróf	m	horse		
Fengel	m	Man		
Ferdinand Took	m	Hobbit		
Ferumbras Took I	m	Hobbit		
Ferumbras Took II	m	Hobbit		
Ferumbras Took III	m	Hobbit		
Fíli	m	Dwarf		
Filibert Bolger	m	Hobbit		
Fimbrethil	f	Ent	Wandlimb	
Finarfin	m	Elf	Arafinwë, Ingalaurë	
Findegil	m	Man		
Findis	f	Elf		
Finduilas	f	Elf	Faelivrin	
Finduilas	f	Man		
Finglas	m	Ent		
Fingolfin	m	Elf	Aracáno, Ñolofinwë	
Fingon	m	Elf	Findekáno	
Finrod	m	Elf	Findaráto, Ingoldo, Nóm	
Finwë	m	Elf	Ñoldóran	
Firefoot	m	horse		
Fíriel Fairbairn	f	Hobbit		
Fladrif	m	Ent		
Flambard Took	m	Hobbit		
Flói	m	Dwarf		
Folca	m	Man		
Folco Boffin	m	Hobbit		
Folcred	m	Man		
Folcwine	m	Man		
Forlong	m	Man		
Forthwini	m	Man		
Fortinbras Took I	m	Hobbit		
Fortinbras Took II	m	Hobbit		
Forweg	m	Man		
Fosco Baggins	m	Hobbit		
Fram	m	Man		
Frár	m	Dwarf		
Fréa	m	Man		
Fréaláf Hildeson	m	Man		
Fréawine	m	Man		
Freca	m	Man		
Fredegar Bolger	m	Hobbit	Fatty	
Frerin	m	Dwarf		
Frodo Baggins	m	Hobbit		
Gardner	m	Hobbit		
Frór	m	Dwarf		
Frumgar	m	Man		
Fuinur	m	Man		
Fundin	m	Dwarf		
Galadhon	m	Elf		
Galador	m	Half-elf		
Galadriel	f	Elf	Alatáriel, Artanis, Nerwen	
Galathil	m	Elf		
Galdor	m	Elf		
Galdor the Tall	m	Man		
Galion	m	Elf		
Gálmód	m	Man		
Gamil Zirak	m	Dwarf		
Gamling	m	Man		
Gandalf	m	Maia	Mithrandir, Olórin	
Gárulf	m	Man		
Gelmir	m	Elf		
Gelmir	m	Elf		
Gerda Boffin	f	Hobbit		
Gerontius Took	m	Hobbit	Old Took	
Gethron	m	Man		
Ghân-buri-Ghân	m	Man		
Gildis	f	Man		
Gildor	m	Man		
Gildor Inglorion	m	Elf		
Gil-galad	m	Elf	Artanáro, Ereinion, Rodnor	
Gilly Brownlock	f	Hobbit		
Gilmith	f	Half-elf		
Gilraen	f	Man		
Gimilkhâd	m	Man		
Gimilzagar	m	Man		
Ar-Gimilzôr	m	Man	Telemnar	
Gimli	m	Dwarf		
Girion	m	Man		
Glaurung	m	dragon		
Gléowine	m	Man		
Glirhuin	m	Man		
Glóin	m	Dwarf		
Glóin	m	Dwarf		
Glóredhel	f	Man		
Glorfindel	m	Elf		
Glorfindel	m	Elf		
Golasgil	m	Man		
Goldberry	f	unknown		
Goldilocks Gardner	f	Hobbit		
Goldwine	m	Man		
Golfimbul	m	Orc		
Gollum	m	Hobbit	Sméagol, Trahald	
Gorbadoc Brandybuck	m	Hobbit		
Gorbag	m	Orc		
Gorbulas Brandybuck	m	Hobbit		
Gorhendad Brandybuck	m	Hobbit		
Gorlim	m	Man		
Gormadoc Brandybuck	m	Hobbit		
Gothmog	m	Maia		
Gothmog	m	unknown		
Gram	m	Man		
Griffo Boffin	m	Hobbit		
Gríma Wormtongue	m	Man	Wormtongue	
Grimbeorn	m	Man		
Grimbold	m	Man		
Grishnákh	m	Orc		
Grithnir	m	Man		
Gróin	m	Dwarf		
Grór	m	Dwarf		
Gruffo Boffin	m	Hobbit		
Guilin	m	Elf		
Gundabald Bolger	m	Hobbit		
Gundahad Bolger	m	Hobbit		
Gundahar Bolger	m	Hobbit		
Gundolpho Bolger	m	Hobbit		
Gundor	m	Man		
Guthláf	m	Man		
Gwaihir	m	eagle		
Gwindor	m	Elf		
Hador	m	Man		
Hador Lórindol	m	Man		
Halbarad	m	Man		
Haldad	m	Man		
Haldan	m	Man		
Haldar	m	Man		
Haldir	m	Elf		
Haldir	m	Man		
Haleth	f	Man		
Halfast Gamgee	m	Hobbit	Hal	
Halfred Gamgee	m	Hobbit		
Halfred Greenhand	m	Hobbit		
Hallacar	m	Man	Mámandil	
Hallas	m	Man		
Hallatan	m	Man		
Halmir	m	Man		
Háma	m	Man		
Hamfast of Gamwich	m	Hobbit		
Hamfast Gamgee	m	Hobbit	Gaffer	
Hamfast Gardner	m	Hobbit		
Hamson Gamgee	m	Hobbit		
Hanna Goldworthy	f	Hobbit		
Harding	m	Man		
Harding of the Hill	m	Hobbit		
Hareth	m	Man		
Harry Goatleaf	m	Man		
Hasufel	m	horse		
Hatholdir	m	Man		
Helm Hammerhand	m	Man		
Hending	m	Hobbit		
Herefara	m	Man		
Heribald Bolger	m	Hobbit		
Herion	m	Man		
Herubrand	m	Man		
Herucalmo	m	Man	Anducal	
Herugar Bolger	m	Hobbit		
Herumor	m	Man		
Hilda Bracegirdle	f	Hobbit		
Hildibrand Took	m	Hobbit		
Hildifons Took	m	Hobbit		
Hildigard Took	f	Hobbit		
Hildigrim Took	m	Hobbit		
Hirgon	m	Man		
Hiril	f	Man		
Hirluin	m	Man		
Hob Gammidge	m	Hobbit		
Hayward	m	Hobbit		
Hobson Gamgee	m	Hobbit	Roper	
Holfast Gardner	m	Hobbit		
Holman Cotton	m	Hobbit	Long Hom	
Holman Greenhand	m	Hobbit		
Horn	m	Man		
Huan	m	wolf		
Hugo Boffin	m	Hobbit		
Hugo Bracegirdle	m	Hobbit		
Hundar	f	Man		
Hunthor	m	Man		
Huor	m	Man		
Húrin	m	Man		
Húrin I	m	Man		
Húrin II	m	Man		
Hyarmendacil I	m	Man		
Hyarmendacil II	m	Man		
Îbal	m	Man		
Ibûn	m	Dwarf		
Idril	f	Elf	Celebrindal	
Ilberic Brandybuck	m	Hobbit		
Ilmarë	f	Maia		
Imin	m	Elf		
Imrahil	m	Man		
Indis	f	Elf		
Ingwë	m	Elf		
Ingwion	m	Elf		
Inzilbêth	f	Man		
Ioreth	f	Man		
Iorlas	m	Man		
Írildë	f	Man		
Irimë	f	Elf		
Isembard Took	m	Hobbit		
Isembold Took	m	Hobbit		
Isengar Took	m	Hobbit		
Isengrim Took I	m	Hobbit		
Isengrim Took II	m	Hobbit		
Isengrim Took III	m	Hobbit		
Isildur	m	Man		
Isilmë	f	Man		
Isilmo	m	Man		
Isumbras Took I	m	Hobbit		
Isumbras Took II	m	Hobbit		
Isumbras Took III	m	Hobbit		
Isumbras Took IV	m	Hobbit		
Ivorwen	f	Man		
Ivy Goodenough	f	Hobbit		
Jago Boffin	m	Hobbit		
Jessamine Boffin	f	Hobbit		
Khamûl	m	Man		
Khîm	m	Dwarf		
Kíli	m	Dwarf		
Lagduf	m	Orc		
Lalia Clayhanger	f	Hobbit		
Landroval	m	eagle		
Largo Baggins	m	Hobbit		
Laura Grubb	f	Hobbit		
Lavender Grubb	f	Hobbit		
Legolas	m	Elf		
Lenwë	m	Elf		
Léod	m	Man		
Lily Baggins	f	Hobbit		
Brown	f	Hobbit		
Linda Baggins	f	Hobbit		
Lindissë	f	Man		
Lindórië	f	Man		
Lobelia Sackville-Baggins	f	Hobbit		
Longo Baggins	m	Hobbit		
Lóni	m	Dwarf		
Lorgan	m	Man		
Lórien	m	Vala	Irmo	
Lothíriel	f	Man		
Lotho Sackville-Baggins	m	Hobbit		
Lugdush	m	Orc		
Lúthien	f	Elf	Tinúviel	
Mablung	m	Elf		
Mablung	m	Man		
Madoc Brandybuck	m	Hobbit		
Maedhros	m	Elf		
Maeglin	m	Elf		
Farmer Maggot	m	Hobbit		
Maglor	m	Elf		
Mahtan	m	Elf		
Mairen	f	Man		
Malach	m	Man		
Malantur	m	Man		
Mallor	m	Man		
Malva Headstrong	f	Hobbit		
Malvegil	m	Man		
Mandos	m	Vala	Námo	
Manwë	m	Vala		
Manwendil	m	Man		
Marach	m	Man		
Marcho	m	Hobbit		
Mardil Voronwë	m	Man		
Marhari	m	Man		
Marhwini	m	Man		
Marigold Gamgee	f	Hobbit		
Marmadas Brandybuck	m	Hobbit		
Marmadoc Brandybuck	m	Hobbit		
Marroc Brandybuck	m	Hobbit		
Mat Heathertoes	m	Man		
Mauhúr	m	Orc		
May Gamgee	f	Hobbit		
Melian	f	Maia		
Melilot Brandybuck	f	Hobbit		
Melkor	m	Vala	Morgoth	
Menegilda Goold	f	Hobbit		
Meneldil	m	Man		
Meneldor	m	eagle		
Tar-Meneldur	m	Man	Írimon	
Mentha Brandybuck	f	Hobbit		
Meriadoc Brandybuck	m	Hobbit	Holdwine, Merry	
Merimac Brandybuck	m	Hobbit		
Merimas Brandybuck	m	Hobbit		
Gardner	m	Hobbit		
Milo Burrows	m	Hobbit		
Mîm	m	Dwarf		
Mimosa Bunce	f	Hobbit		
Minardil	m	Man		
Minastan	m	Man		
Tar-Minastir	m	Man		
Minto Burrows	m	Hobbit		
Mirabella Took	f	Hobbit		
Míriel Therindë	f	Elf		
Tar-Míriel	f	Man	Zimraphel	
Mithrellas	f	Elf		
Moro Burrows	m	Hobbit		
Morwen	f	Man		
Morwen Steelsheen	f	Man		
Mosco Burrows	m	Hobbit		
Mungo Baggins	m	Hobbit		
Muzgash	m	Orc		
Myrtle Burrows	f	Hobbit		
Nahar	m	horse		
Náin I	m	Dwarf		
Náin II	m	Dwarf		
Náli	m	Dwarf		
Nár	m	Dwarf		
Narmacil I	m	Man		
Narmacil II	m	Man		
Narvi	m	Dwarf		
Nellas	f	Elf		
Nerdanel	f	Elf		
Nessa	f	Vala		
Nessanië	f	Man		
Nienna	f	Vala		
Niënor	f	Man		
Nimloth	f	Elf		
Nina Lightfoot	f	Hobbit		
Nob	m	Hobbit		
Nolondil	m	Man		
Nora Bolger	f	Hobbit		
Nori	m	Dwarf		
Númendil	m	Man		
Núneth	f	Man		
Proudfoot	m	Hobbit		
Odovacar Bolger	m	Hobbit		
Óin	m	Dwarf		
Óin	m	Dwarf		
Olo Proudfoot	m	Hobbit		
Olwë	m	Elf		
Ondoher	m	Man		
Orchaldor	m	Man		
Orgulas Brandybuck	m	Hobbit		
Ori	m	Dwarf		
Orodreth	m	Elf		
Orodreth	m	Man		
Oromë	m	Vala		
Oromendil	m	Man		
Oropher	m	Elf		
Orophin	m	Elf		
Ossë	m	Maia		
Ostoher	m	Man		
Sackville-Baggins	m	Hobbit		
Otto Boffin	m	Hobbit		
Paladin Took I	m	Hobbit		
Paladin Took II	m	Hobbit		
Tar-Palantir	m	Man	Inziladûn	
Pallando	m	Maia		
Pansy Baggins	f	Hobbit		
Pearl Took	f	Hobbit		
Pelendur	m	Man		
Pengolodh	m	Elf		
Peony Baggins	f	Hobbit		
Peregrin Took	m	Hobbit	Pippin	
Pervinca Took	f	Hobbit		
Ar-Pharazôn	m	Man	Calion	
Pimpernel Took	f	Hobbit		
Gardner	m	Hobbit		
Polo Baggins	m	Hobbit		
Ponto Baggins I	m	Hobbit		
Ponto Baggins II	m	Hobbit		
Poppy Chubb-Baggins	f	Hobbit		
Porto Baggins	m	Hobbit		
Posco Baggins	m	Hobbit		
Primrose Boffin	f	Hobbit		
Gardner	f	Hobbit		
Primula Brandybuck	f	Hobbit		
Prisca Baggins	f	Hobbit		
Radagast	m	Maia	Aiwendil	
Radbug	m	Orc		
Reginard Took	m	Hobbit		
Rían	f	Man		
Roäc	m	raven		
Gardner	m	Hobbit		
Robin Smallburrow	m	Hobbit		
Rollo Boffin	m	Hobbit		
Rómendacil I	m	Man	Tarostar	
Rómendacil II	m	Man	Minalcar	
Rorimac Brandybuck	m	Hobbit	Rory	
Rosa Baggins	f	Hobbit		
Rosamunda Took	f	Hobbit		
Rose	f	Hobbit		
Gardner	f	Hobbit		
Rosie Cotton	f	Hobbit		
Rowan	f	Hobbit		
Rowlie Appledore	m	Man		
Ruby Bolger	f	Hobbit		
Gardner	f	Hobbit		
Rudibert Bolger	m	Hobbit		
Rudigar Bolger	m	Hobbit		
Rudolph Bolger	m	Hobbit		
Rufus Burrows	m	Hobbit		
Rúmil	m	Elf		
Rúmil	m	Elf		
Sadoc Brandybuck	m	Hobbit		
Sador	m	Man		
Saeros	m	Man		
Ar-Sakalthôr	m	Man	Falassion	
Salmar	m	Maia		
Salvia Brandybuck	f	Hobbit		
Samwise Gamgee	m	Hobbit	Sam	
Proudfoot	m	Hobbit		
Sapphira Brockhouse	f	Hobbit		
Saradas Brandybuck	m	Hobbit		
Saradoc Brandybuck	m	Hobbit		
Saruman	m	Maia	Curumo	
Sauron	m	Maia	Annatar	
Seredic Brandybuck	m	Hobbit		
Shadowfax	m	horse		
Shagrat	m	Orc		
Shelob	f	spider		
Sigismond Took	m	Hobbit		
Silmariën	f	Man		
Siriondil	m	Man		
Smaug	m	dragon		
Snaga	m	Orc		
Snaga	m	Orc		
Soronto	m	Man		
Strider	m	pony		
Stybba	m	pony		
Tar-Súrion	m	Man		
Tanta Hornblower	f	Hobbit		
Tarannon	m	Man	Falastur	
Tarcil	m	Man		
Targon	m	Man		
Tarondor	m	Man		
Tarondor	m	Man		
Tata	m	Elf		
Ted Sandyman	m	Man		
Telchar	m	Dwarf		
Tar-Telemmaitë	m	Man		
Telemnar	m	Man		
Tar-Telperiën	f	Man		
Telumehtar	m	Man	Umbardacil	
Thengel	m	Man		
Theobald Bolger	m	Hobbit		
Théoden	m	Man		
Théodred	m	Man		
Thingol	m	Elf	Elwë	
Thorin I	m	Dwarf		
Thorin II Oakenshield	m	Dwarf		
Thorin III Stonehelm	m	Dwarf		
Thorondir	m	Man		
Thorondor	m	eagle		
Thráin I	m	Dwarf		
Thráin II	m	Dwarf		
Thranduil	m	Elf		
Thrór	m	Dwarf		
Thuringwethil	f	vampire		
Tilion	m	Maia		
Tindómiel	f	Man		
Tobold Hornblower	m	Hobbit		
Togo Goodbody	m	Hobbit		
Tolman Cotton	m	Hobbit		
Tolman Gardner	m	Hobbit	Tom	
Tom	m	Troll		
Tom Bombadil	m	unknown		
Tosto Boffin	m	Hobbit		
Treebeard	m	Ent	Fangorn	
Tulkas	m	Vala		
Tuor	m	Man		
Turgon	m	Elf		
Turgon	m	Man		
Túrin I	m	Man		
Túrin II	m	Man		
Túrin Turambar	m	Man	Adanedhel, Agarwaen, Gorthol, Mormegil, Neithan, Thurin	
Uffo Boffin	m	Hobbit		
Ufthak	m	Orc		
Uglúk	m	Orc		
Uinen	f	Maia		
Ulbar	m	Man		
Uldor	m	Man		
Ulfang the Black	m	Man		
Ulfast	m	Man		
Ulmo	m	Vala		
Ulrad	m	Man		
Ulwarth	m	Man		
Ungoliant	m	spider		
Vairë	f	Vala		
Valacar	m	Man		
Valandil	m	Man		
Valandil	m	Man		
Vána	f	Vala		
Tar-Vanimeldë	f	Man		
Varda	f	Vala	Elbereth	
Vardamir	m	Man	Nólimon	
Vardilmë	f	Man		
Vëantur	m	Man		
Vidugavia	m	Man		
Vidumavi	f	Man		
Vigo Boffin	m	Hobbit		
Vorondil the Hunter	m	Man		
Voronwë	m	Elf	Aranwion	
Walda	m	Man		
Wilcome Cotton	m	Hobbit	Jolly	
Wilibald Bolger	m	Hobbit		
Wilimar Bolger	m	Hobbit		
Will Whitfoot	m	Hobbit		
Banks	m	Hobbit		
Wiseman Gamwich	m	Hobbit		
Wulf	m	Man		
Yavanna	f	Vala		
Yávien	f	Man		
Zamîn	f	Man		
Zimrahin	f	Man	Meldis	
Ar-Zimrathôn	m	Man	Hostamir	
